Surfer_ID,Name,Country,Event_Score,Waves_Surfed,Best_Wave_Score,Rank,Prize_Money_Won
69,Surfer_69,AUS,15.49825683,13,6.033421799,3,20219.95821
70,Surfer_70,JPN,12.48262173,12,6.369805637,13,22436.27118
71,Surfer_71,JPN,7.246682845,17,6.072945599,28,45303.77603
72,Surfer_72,JPN,15.34281487,16,6.886295416,49,18064.51788
73,Surfer_73,AUS,9.688481431,14,5.194815662,25,26185.48497
74,Surfer_74,FRA,17.36796215,11,8.091269422,33,39398.99762
75,Surfer_75,JPN,10.40287883,13,6.682771074,38,20430.59633
76,Surfer_76,ZAF,22.74967203,8,8.278613177,6,31482.24831
77,Surfer_77,AUS,11.08373354,17,6.926983105,44,43255.82173
78,Surfer_78,AUS,13.38969242,8,8.408068345,45,47526.51056
79,Surfer_79,FRA,19.06758609,5,6.703122847,32,8206.600566
80,Surfer_80,AUS,8.845678418,12,6.303472641,45,46402.79363
81,Surfer_81,AUS,16.13729967,18,7.480187271,47,25113.69836
82,Surfer_82,JPN,21.53571377,18,8.464451793,21,13653.97503
83,Surfer_83,FRA,6.962583827,16,6.741683022,16,23497.65206
84,Surfer_84,JPN,15.92316929,7,9.683240759,21,49021.59619
85,Surfer_85,JPN,16.29941397,11,5.195931633,11,25138.28661
86,Surfer_86,FRA,18.90911436,19,7.089730159,37,17108.8289
87,Surfer_87,USA,8.815246446,16,9.837902758,36,32036.64186
88,Surfer_88,JPN,8.397716935,6,7.739859416,35,12767.13532
89,Surfer_89,ZAF,17.60970783,6,7.117354712,19,4717.303077
90,Surfer_90,ZAF,16.48492337,11,7.842601419,20,7315.106374
91,Surfer_91,AUS,16.25246425,19,7.879622876,18,7274.246109
92,Surfer_92,ZAF,16.73224105,10,8.658238776,47,8443.231982
93,Surfer_93,AUS,11.59987639,7,5.638448647,41,7802.53146
94,Surfer_94,USA,16.16126849,13,6.250082246,49,32402.8625
95,Surfer_95,FRA,16.46536237,14,7.902720062,14,9912.124136
96,Surfer_96,FRA,11.42824291,19,9.335583036,15,17937.69688
97,Surfer_97,FRA,24.32887256,18,7.809333461,31,44942.63209
98,Surfer_98,ZAF,17.3691646,17,6.192984299,1,24224.12037
99,Surfer_99,USA,9.043482514,10,8.3992239,3,33710.32919
100,Surfer_100,ZAF,18.28276804,14,8.699543802,16,9443.673689
101,Surfer_101,ZAF,10.12659165,14,6.191180762,23,10422.16192
102,Surfer_102,USA,18.93542302,10,6.888644431,11,3002.562197
103,Surfer_103,USA,20.7929779,5,7.671637368,12,9277.818091
104,Surfer_104,USA,10.89658841,8,7.482805953,10,14650.92661
105,Surfer_105,USA,19.81688065,14,6.948090431,32,9673.51373
106,Surfer_106,FRA,17.06390463,10,6.488175873,16,5346.424154
107,Surfer_107,BRA,19.1103008,19,5.499924436,8,6911.157684
108,Surfer_108,BRA,24.48396491,10,5.267426484,38,23578.15963
109,Surfer_109,USA,13.77305942,15,9.792707484,12,11110.3522
110,Surfer_110,BRA,11.23131918,16,9.23571572,24,18849.22319
111,Surfer_111,BRA,10.55242785,9,6.774525952,28,25667.44627
112,Surfer_112,USA,10.92094858,5,9.784004426,8,34829.3466
113,Surfer_113,BRA,14.61449145,12,8.383849522,28,2926.294852
114,Surfer_114,ZAF,16.70575987,9,7.412604748,36,40171.10955
115,Surfer_115,AUS,16.383454,16,7.465128289,26,31767.11909
116,Surfer_116,AUS,19.13591625,16,5.416422056,8,5006.192565
117,Surfer_117,USA,15.06500946,16,5.458520736,50,43805.35258
118,Surfer_118,FRA,22.26767039,9,8.01220463,28,46122.74763
119,Surfer_119,USA,13.67671583,11,7.768515262,28,3992.820033
120,Surfer_120,FRA,28.60084583,8,6.063639475,37,14567.00476
